yearweek,id_week,netsales_online,direct_mail,emails,phone_calls,online_budget,promotion,holiday,avg_cloud_index,avg_temp,avg_wind_speed,avg_rainfall_level,avg_hours_sun,avg_snow_level
201638,90,47121663,170684,13636277,71810,2278665.66,0,0,6.134711873,14.08178138,2.698070677,3.546684195,3.978085155,0.146509471
201639,91,43205084,6231496,13261792,123477,2199758.23,0,0,4.421779216,14.87325043,3.063406792,0.314835417,7.271417008,0.066975966
201640,92,42478150,166832,18154645,64699,2472013.2,0,1,5.859676636,10.94495212,3.930843537,2.372592728,3.085432205,0.016189714
201641,93,48559809,2183401,13584190,82082,2591454.19,0,0,7.034830632,7.191450169,3.07642225,0.98664723,1.357808839,0.059432358
201642,94,52416833,289014,12327211,79563,2390061.75,0,0,6.709361453,9.172564193,3.345473401,2.609603042,2.087373875,0.06612188
201643,95,50810617,1162465,11070873,69911,2151752.92,0,0,7.045657206,7.503142608,2.442105944,2.337569384,1.180275913,0.089617879
201644,96,52756514,165488,17008890,86682,2274081.98,0,0,6.004306936,7.227728996,3.315411918,0.711265104,2.980189651,0.06715768
201645,97,55275743,534358,12182325,92559,2449073.07,0,0,7.085292701,3.126695527,3.298349862,3.323683148,1.006515892,0.456266408
201646,98,63345168,2913112,13565440,84322,2588063.04,0,0,6.187771674,2.676883117,3.693821055,2.526649989,1.897319834,0.556683311
201647,99,57852432,3769317,16679520,79508,2626447.38,0,0,6.491833714,7.262590553,4.097061848,1.338778178,1.698023419,0.141906412
201648,100,67127018,556749,16395854,117503,2751942.89,0,0,5.182560896,1.460993809,3.839179976,0.518696118,3.024981574,0.159518411
201649,101,68467712,168189,13153503,104450,2565028.5,2,0,4.745788614,-0.240730878,3.073370226,0.192798834,3.713799467,0.222881657
201650,102,58680613,5500309,13332204,73694,2393212.96,1,0,6.912013631,4.206844676,3.658941527,1.318919077,1.185855881,0.184057039
201651,103,54737272,177121,13857741,18732,2049571.35,1,1,6.434921644,0.70447348,3.118360098,0.533320157,1.763124565,0.270972852
201652,104,46544497,193321,12648268,0,2334868.76,1,1,5.713634927,2.895919301,4.837978346,0.999378905,2.07582916,0.257023216
201701,105,45974940,108852,15259077,67404,1923916.49,1,1,5.752788829,-2.795938515,4.631321881,1.866164845,2.081101451,3.299622445
201702,106,53226799,259315,9617153,83784,1843732.15,2,0,7.156371812,0.117337843,4.815003744,2.710720506,0.701081725,6.720380545
201703,107,45405609,116751,12110939,94783,1822175.33,0,0,4.957639507,-3.864731245,2.952303358,0.272029075,3.292695148,10.53653707
201704,108,46229278,4563424,12882648,89460,1744386.14,0,0,4.709032624,-3.848607776,2.790566393,0.02689132,3.87555637,8.760963169
201705,109,54386926,130465,13008940,82743,1739118.23,1,0,6.826695796,1.856413186,3.46666581,1.832764623,1.382511142,7.106644044
201706,110,49484691,1329697,12714951,82174,1793265.74,1,0,7.178067689,-0.203190572,3.681126241,0.355985798,1.26718482,4.537729691
201707,111,44851576,113674,14611932,85572,1797207.43,1,0,4.143162066,2.103482439,3.332692308,0.83817694,4.699205991,4.088618646
201708,112,42241253,111469,10334740,108011,1853967.61,0,0,6.604092963,5.484500943,6.003060447,3.46017872,2.08253982,2.576819143
201709,113,45679890,2251275,14275841,99551,2044783.03,0,0,6.556735388,6.229009207,5.321036702,2.404271815,3.089417099,1.781501094
201710,114,58634939,2449562,14156651,84297,2273127.93,1,0,6.737809306,5.149259895,4.051068068,3.394285175,2.325249337,2.010030446
201711,115,48308432,3135312,13871102,94401,2318259.05,0,0,5.473339492,6.567400427,4.205969898,1.960447846,5.436232237,1.922989486
201712,116,47623925,119787,13592028,88018,2303472.69,0,0,6.302543887,7.451874412,4.234703553,1.536776233,3.944234079,1.714910055
201713,117,47919816,120631,14377411,91560,2150520.71,0,0,4.244151932,10.93368813,2.967251602,0.33054112,8.626675127,1.482535807
201714,118,50031070,2318805,14404174,75700,2478682.51,0,0,5.505489291,8.806584661,3.45687048,0.45901483,4.825534124,1.207809408
201715,119,42330426,115604,12966077,57140,2105145.43,0,1,5.564558741,9.33449767,4.476398024,1.057934504,5.126449214,1.174463406
201716,120,42700169,113771,16281722,53062,2235013.32,0,1,5.980950982,4.614979166,4.168835667,2.21521762,4.303932748,2.006813638
201717,121,44953168,121337,13418095,87069,2159525.22,0,0,5.721113594,5.71546389,3.281054761,1.963675986,4.998125284,1.844128528
201718,122,44776037,293642,11019506,83792,2220390.36,0,1,6.038116481,9.286226871,4.047355642,2.854991493,4.669570905,6.116472016
201719,123,53204296,2422754,10956898,81554,2165802.91,1,0,5.980273928,11.02172028,3.108377456,1.992415931,5.700818839,7.263106105
201720,124,46387785,464179,11150010,82815,2111444.52,0,0,5.405662768,15.73712173,2.974612259,2.603362316,7.733224294,7.08361051
201721,125,44382437,108446,10088864,46668,2127329.11,0,1,3.920070326,15.88694682,3.139571351,0.187079874,10.22767127,6.947211098
201722,126,47973591,112700,9727265,76245,2356558.01,0,1,4.428998977,19.18352304,2.938127689,2.866176293,9.813832289,5.888620485
201723,127,44943958,185991,11414576,62152,2536417.58,0,1,5.652974797,15.05269021,3.874276797,2.581494805,6.89115613,5.549056278
201724,128,42199981,4024569,11469308,82485,2252087.82,0,0,4.944694627,17.74719891,3.900139391,0.789780978,8.747768601,4.719160993
201725,129,47442884,112869,10448458,81817,2296337.42,0,0,4.039001812,20.65077643,3.350159854,1.432390173,10.72413285,3.555040198
201726,130,40696782,235321,11570493,13,2155583.04,0,0,6.305464074,17.52224569,3.877995933,6.314410516,4.854880126,2.466991342
